stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3331,180936,"Avenida Vicente Machado, 1432 - Centro",378 - Inter Hospitais (Hospital Militar) 380 - Detran / V. Machado (Sentido Detran) 393 - C. Imbuia / Parque Barigui (sentido C. Imbuia),-25.438514457376,-49.290079925131,,,0,,,
3351,130868,"Rua Maria Ficinska, 382 - Tarumã",366 - Itupava / Hospital Militar (Ponto Final - Itupava),-25.431792794865,-49.232007139951,,,0,,,
3559,110081,"Av. Silva Jardim, 5129 - Água Verde",265 - Ahú / Los Angeles (Sentido Ahú) 378 - Inter Hospitais (Hospital Pequeno Príncipe),-25.443193510851,-49.276324538643,,,0,,,
3623,130312,"Av. Nossa Senhora da Penha, 295 - Cristo Rei",386 - Cajuru 387 - Palotinos,-25.438976914005,-49.234727130059,,,0,,,
3830,140584,"Rua Professor Paulo D'Assumpção, 1250 - Uberaba",461 - Sta.Bárbara (Ponto Final),-25.47430622144,-49.218318734359,,,0,,,
3882,140590,"Rua Artur José Nísio, 167 - Uberaba",462 - Petrópolis (Ponto Final),-25.480248049753,-49.20951537791,,,0,,,
3982,190908,"Rua Alcides Munhoz, 1235 - Mercês",464 - A.Munhoz / J. Botânico (Sentido J. Loureiro),-25.418882900725,-49.299594651521,,,0,,,
4035,140603,"Rua Doutor Ovande do Amaral, 81 - Jardim das Américas",465 - Erasto Gaertner (Ponto Final),-25.4533969,-49.2399949,,,0,,,
4061,140962,"Rua Evaristo F. F. da Costa, 407I - Centro Politécnico",466 - Estudantes (Ponto Final ),-25.4500028,-49.2312375,,,0,,,
4247,140818,"Rua Rosa Sahagof, 213 - Uberaba",471 - V. São Paulo (Ponto Final),-25.493366300218,-49.223020542957,,,0,,,
4416,140871,"R. Américo Firmino de Tolêdo, 555 - Uberaba",475 - Canal Belém (Ponto Final),-25.503383873639,-49.216162440155,,,0,,,
4664,160756,"Rua Itaguaje, 224 - Ganchinho",X07 - Especial Sítio Cercado 535- Osternack / Boqueirão (Ponto FInal).,-25.5524106,-49.2543398,,,0,,,
4939,140032,"Av. Senador Salgado Filho, 1464 - Prado Velho",188 - MAD. Pilarzinho / Uberaba 471 - V. São Paulo (Sentido V. São Paulo) 472 - Uberaba (Sentido Uberaba) 516 - Canal Belém/ Salgado Filho ( Ponto Final- Salgado Filho ),-25.469364306191,-49.239986679762,,,0,,,
5016,150808,"Rua Professor João Ducke Filho, 78 - Xaxim",522- Maringá (Ponto Final).,-25.5198196,-49.2691218,,,0,,,
5109,160152,"Rua Cinco de Maio Dia do Expedicionário, 102 - Alto Boqueirão",532 - Jd. Paranaense (Ponto Final).,-25.538863090624,-49.244614258896,,,0,,,
5151,160217,Rua Desembargador Oscar Carvalho E Silva - Alto Boqueirão,533 - E.Veríssimo/Pantanal ( Ponto Final - Pantanal ).,-25.5363365,-49.2322354,,,0,,,
5346,106114,Terminal Sítio Cercado - 545 - Trabalhador - 540 - Boqueirão / Kraft,Terminal Sítio Cercado 545 - Trabalhador (Sentido Fazendinha) 540 - Boqueirão / Mondelez (Sentido Mondelez),-25.534316227165,-49.267708211184,,,0,14492,,
5452,106108,Terminal Sítio Cercado - 545 - Trabalhador,Terminal Sítio Cercado 545 - Trabalhador (Sentido Boqueirão).,-25.534335152878,-49.268083819084,,,0,14492,,
5661,150628,"Rua Padre Manuel da Nóbrega, 1357 - Fanny",561-Guilhermina (Ponto Final),-25.4874457,-49.2772269,,,0,,,
6369,105805,Terminal Portão - 615 - Uberlândia,Terminal Portão 615 - Uberlândia (Sentido Uberlândia),-25.4762902214,-49.292300398777,,,0,14499,,
6521,170302,"Rua Primo Lourenço Tosin, 1083- Novo Mundo",620- Sta Cruz (Ponto Final) 628- Carbomafra (Sentido Terminal Capão Raso).,-25.4957214,-49.3023882,,,0,,,
6560,180304,"Rua Deputado João Ribeiro Júnior, 135 - Cidade Industrial",622- Rondon (Ponto Final);,-25.4982307,-49.330714,,,0,,,
6587,170209,"Rua Jaime Rodrigues da Rocha, 1745 - Capão Raso",623 - Parque Industrial (Ponto Final).,-25.516274777827,-49.31131427057,,,0,,,
6940,150538,"Rua Miguel Raicoski Sobrinho, 120 - Pinheirinho",633 - Maria Angélica (Ponto Final).,-25.527413449076,-49.274282413353,,,0,,,
6985,160147,"Rua Inajá, 917 - Pinheirinho",636 - Rio Negro,-25.545214049923,-49.29068372576,,,0,,,
7026,160265,"R. Mandirituba, 2450 - Sítio Cercado, Curitiba.","R. Mandirituba, 2450 - Sítio Cercado",-25.552065629973,-49.265460932841,,,0,,,
7047,160070,"Rua Rosa Cavichiolo Nichele, 122 - Umbara",639 - Futurama (Ponto Final),-25.567931628884,-49.283095910416,,,0,,,
7068,160345,"Rua Ângelo Rigolino, 46 - Tatuquara",640 - Palmeira,-25.550795544698,-49.299267929465,,,0,,,
7094,160383,"Rua Ângelo Gai, 467 - Umbara",641 - Luiz Nichele (Ponto Final).,-25.596179778773,-49.298075226984,,,0,,,
7122,160198,"Rua Helena Grodzki, 7810 - Umbara (Estrada do Ganchinho)",642 - Ganchinho (Sentido Ganchinho),-25.5988081,-49.261712,,,0,,,
7235,170907,"Rua Júlio Pereira Sobrinho, 677 - Campo de Santana",646 - Pompéia / Janaina (Sentido Terminal Pinheirinho),-25.587674416958,-49.324726446627,,,0,,,
7276,170401,Rua Prof. Manoel de Oliveira Franco Sobrinho 01 - Campo de Santana,646 - Pompéia / Janaina (Ponto Final - Janaina).,-25.598986579127,-49.330259891904,,,0,,,
7332,170403,"Estrada da Caximba, 7965 - Caximba",659 - Caximba / Olaria (Sentido Terminal Pinheirinho),-25.619355911266,-49.347205313492,,,0,,,
7482,170747,"Rua Antônia Molina Bela, 246- Cidade Industrial",652- V. Verde (Ponto Final),-25.5276464,-49.3342498,,,0,,,
7515,180868,Rua Águas do Passaúna 20 - São Miguel,653 - Sabará (Ponto Final),-25.500306607178,-49.354298115344,,,0,,,
7554,180864,Rua Águas do Passaúna 01 - São Miguel,653 - Sabará (Sentido Sabará),-25.504861458582,-49.356103286508,,,0,,,
7853,150683,"Av. Pres. Wenceslau Braz, 948 - Parolin",661 - Lindóia (Ponto Final),-25.472328524725,-49.264626542258,,,0,,,
7875,150641,"Rua Santa Joana D'arc, 748 - Lindóia",662 - Dom Ático (Ponto Final).,-25.483147878396,-49.277405753373,,,0,,,
7897,150524,"Rua São Judas Tadeu, 447 - Capão Raso",663 - V. Cubas (Ponto Final).,-25.49819119772,-49.280062985879,,,0,,,
7919,150195,"Rua Sebastião Vieira da Rosa, 32 - Xaxim",665 - Vila Rex (Ponto Final).,-25.518613324699,-49.272125030688,,,0,,,
7941,150651,"Rua Izidoro Siedeliski, 627 - Novo Mundo",666 - Novo Mundo,-25.491331573278,-49.285910088425,,,0,,,
8129,170114,"Rua Dep.Waldemiro Pedroso, 1993 - Novo Mundo",673 - Formosa (Ponto Final) 828 - C. Comprido/ C. Raso (Sentido Terminal Capão Raso) 831- Fazendinha/C. Raso (Sentido Terminal Capão Raso),-25.49273731085,-49.312507944775,,,0,,,
8239,170477,"Rua Teresa de Freitas Tavares, 648 - Campo de Santana",680 - Rurbana (Ponto Final).,-25.583281200871,-49.328875841313,,,0,,,
8337,170962,Rua Ismael de Almeida - Campo de Santana,685 - Rio Bonito / CIC (Sentido CICl).,-25.594344048838,-49.344763243551,,,0,,,
8644,170549,"Rua Luís Leal da Rocha, 3 - Campo de Santana",680 - Rurbana (Sentido Terminal Pinheiriho),-25.576216319586,-49.321990030059,,,0,,,
8727,109030,Estação Tubo Guadalupe,Estação Tubo Guadalupe 507 - Sítio Cerado (Horário) (Desembarque) 700 - Pinheirinho / Cabral (Sentido Cabral) 702 - Caiuá / Cachoeira (Sentido Cachoeira) X35 - Pinheirinho / Prefeitura (Sentido Prefeitura) X36 - Ref. Guadalupe / Fazendinha (Desembarque),-25.433655433387,-49.263477908598,,,0,25427,,
8871,180500,"Rua do Semeador, 556- Cidade Industrial",711- Itatiaia (Ponto Final),-25.470727687224,-49.351928334359,,,0,,,
8944,180442,"Rua Alcir Martins Bastos, 1035 - Fazendinha",710 - STA. Amélia / P. Belo 713- Sta Amélia (Ponto Final) 789 - Mad. Caiuá (Sentido Praça Rui Barbosa),-25.4911614211,-49.328305760119,,,0,,,
8983,105002,Terminal Caiuá - 721 - Mário Jorge,Terminal Caiuá 721 - Rua Mário Jorge (Sentido Rua Mário Jorge),-25.483741908752,-49.350296164418,,,0,14515,,
9119,180816,"Rua Adalberto Gilardi da Silva, 1 - Santa Quitéria",760 - Sta. Quitéria (Ponto Final),-25.465215717422,-49.319645698182,,,0,,,
9206,180621,"Rua Alfredo José Pinto, 1048 - Fazendinha",762- V. Rosinha (Ponto Final),-25.476337303733,-49.326276863212,,,0,,,
